player_id,season_id,Goals_per_shot,Goals_per_Shot_on_Target,Minutes_per_Goal,Total_shots,Average_SofaScore_Rating,Shots_on_target,Shots_inside_box,Shots_outside_box,Regular_play,Goals,Header,Goal_conversion_percentage,Big_chances_missed,Expected_goals_xG,Non_penalty_xG,xG_on_target_xGOT,Penalty_goals,Minutes_played
6a925565-8b23-11ef-bdd6-00ff248ba4a4,3,0.14,0.4,0.17,88,7.31,30,72,16,45,12,2,13.64,6,11.84,7.9,11.63,5,"2,908"
6a9256d3-8b23-11ef-bdd6-00ff248ba4a4,3,0.14,0.38,0.18,76,7.43,29,48,28,58,11,0,14.47,4,8.04,7.26,9,1,"2,364"
6a925869-8b23-11ef-bdd6-00ff248ba4a4,1,0.15,0.43,0.12,108,7.72,37,80,28,88,16,1,14.81,11,15.52,10.79,15.36,6,"2,933"
6a925869-8b23-11ef-bdd6-00ff248ba4a4,2,0.16,0.44,0.21,89,7.31,32,67,22,67,14,0,15.73,3,11.45,9.08,10.42,2,"3,191"
6a925869-8b23-11ef-bdd6-00ff248ba4a4,3,0.11,0.35,0.18,97,7.04,31,72,25,79,11,0,11.34,5,11.03,9.45,9.41,2,"2,991"
6a925a59-8b23-11ef-bdd6-00ff248ba4a4,3,0.13,0.44,0.18,88,6.97,25,48,40,54,11,0,12.5,6,10.16,7.01,9.48,4,"2,922"
6a925bc2-8b23-11ef-bdd6-00ff248ba4a4,3,0.15,0.41,0.27,71,6.74,27,61,10,53,11,1,15.49,10,11.63,9.27,10.01,3,"3,260"
6a925d2f-8b23-11ef-bdd6-00ff248ba4a4,1,0.18,0.44,0.09,62,7.08,25,51,11,50,11,3,17.74,7,9.59,9.59,8.45,0,"1,492"
6a925d2f-8b23-11ef-bdd6-00ff248ba4a4,3,0.14,0.43,0.2,72,7.02,23,52,20,54,10,2,13.89,6,9.26,6.9,8.5,3,"2,526"
6a925eaa-8b23-11ef-bdd6-00ff248ba4a4,3,0.25,0.43,0.1,40,6.92,23,30,10,31,10,0,25,5,5.99,5.99,5.77,0,"1,920"
